FSA,Latitude,Longitude,Place Name
M1B,43.806671,-79.188695,Scarborough
M1C,43.800986,-79.150566,Scarborough
M1E,43.769369,-79.188701,Scarborough
M1G,43.771793,-79.218326,Scarborough
M1H,43.770175,-79.239475,Scarborough
M1J,43.743626,-79.228193,Scarborough
M1K,43.752547,-79.25594,Scarborough
M1L,43.713208,-79.285984,Scarborough
M1M,43.724713,-79.228194,Scarborough
M1N,43.69739,-79.26555,Scarborough
M1P,43.761604,-79.270482,Scarborough
M1R,43.750864,-79.300073,Scarborough
M1S,43.794194,-79.265548,Scarborough
M1T,43.784,-79.304299,Scarborough
M1V,43.819173,-79.281752,Scarborough
M1W,43.801233,-79.321908,Scarborough
M1X,43.832463,-79.205622,Scarborough
M2H,43.802705,-79.352188,North York
M2J,43.780268,-79.34785,North York
M2K,43.7869473,-79.385975,North York
M2L,43.750382,-79.380342,North York
M2M,43.792991,-79.405673,North York
M2N,43.772026,-79.408767,North York
M2P,43.750126,-79.398641,North York
M2R,43.7827364,-79.4422593,North York
M3A,43.754352,-79.335695,North York
M3B,43.74959,-79.357816,North York
M3C,43.721415,-79.351479,North York
M3H,43.7543283,-79.4422593,North York
M3J,43.765606,-79.493584,North York
M3K,43.7374732,-79.4647633,North York
M3L,43.732423,-79.511862,North York
M3M,43.733635,-79.497804,North York
M3N,43.7553,-79.520295,North York
M4A,43.7258823,-79.3155716,North York
M4B,43.707049,-79.311343,East York
M4C,43.690866,-79.309934,East York
M4E,43.678461,-79.295847,Toronto
M4G,43.709585,-79.364154,East York
M4H,43.700791,-79.351415,East York
M4J,43.687449,-79.335288,East York
M4K,43.682466,-79.35482,Toronto
M4L,43.669917,-79.315569,Toronto
M4M,43.644755,-79.338104,Toronto
M4N,43.72802,-79.38879,North York
M4P,43.7127511,-79.3901975,Toronto
M4R,43.714329,-79.406382,Toronto
M4S,43.703402,-79.385974,Toronto
M4T,43.689574,-79.38316,Toronto
M4V,43.68595,-79.402159,Toronto
M4W,43.6818,-79.376824,Toronto
M4X,43.66787,-79.36821,Toronto
M4Y,43.666605,-79.3815,Toronto
M5A,43.651291,-79.353592,Toronto
M5B,43.657227,-79.377529,Toronto
M5C,43.651494,-79.375418,Toronto
M5E,43.645957,-79.373306,Toronto
M5G,43.656568,-79.385975,Toronto
M5H,43.649385,-79.384567,Toronto
M5J,43.642366,-79.371569,
M5K,43.646814,-79.381752,Toronto
M5L,43.648792,-79.378233,Toronto
M5M,43.733805,-79.419044,North York
M5N,43.711695,-79.416936,Toronto
M5P,43.699756,-79.405242,Toronto
M5R,43.674851,-79.40304,Toronto
M5S,43.663486,-79.397937,Toronto
M5T,43.653338,-79.397234,Toronto
M5V,43.645952,-79.392281,Toronto
M5W,43.645496,-79.3778814,Toronto
M5X,43.647935,-79.381752,Toronto
M6A,43.724054,-79.450696,North York
M6B,43.707466,-79.447883,North York
M6C,43.691671,-79.430301,York
M6E,43.6890256,-79.453512,York
M6G,43.667697,-79.421859,Toronto
M6H,43.6690051,-79.4422593,Toronto
M6J,43.648786,-79.418341,Toronto
M6K,43.641067,-79.431002,Toronto
M6L,43.714808,-79.488665,North York
M6M,43.696127,-79.485149,North York
M6N,43.673185,-79.487262,York
M6P,43.660421,-79.464058,Toronto
M6R,43.647581,-79.448588,Toronto
M6S,43.6436681,-79.4760133,Toronto
M7A,43.659254,-79.390444,Toronto
M7X,43.780588,-79.250516,Toronto
M7Y,43.664518,-79.313696,Toronto
M7Z,43.781069,-79.250516,Toronto
M8V,43.6056466,-79.5013207,Etobicoke
M8W,43.602414,-79.543484,Etobicoke
M8X,43.6536536,-79.5069436,Etobicoke
M8Y,43.632824,-79.492883,Etobicoke
M8Z,43.625942,-79.523805,Etobicoke
M9A,43.664169,-79.530834,Etobicoke
M9B,43.651064,-79.554722,Etobicoke
M9C,43.640353,-79.574384,Etobicoke
M9L,43.761584,-79.556124,North York
M9M,43.724766,-79.532242,North York
M9N,43.704243,-79.518889,York
M9P,43.696319,-79.5322424,Etobicoke
M9R,43.6889054,-79.5547244,Etobicoke
M9V,43.739416,-79.588437,Etobicoke
M9W,43.719247,-79.553553,Etobicoke
